cohort_id,court_establishment,case_type,act_section_bucket,filing_year_bucket,current_stage,cohort_size,median_days_in_stage,p75_days_in_stage,p90_days_in_stage,data_label
COHORT_0921,CHHATT_DC_05,MACA,MOTOR_ACCIDENT,2024,Evidence / Argument,1,193,193,193,SYNTHETIC_AUGMENTED
COHORT_0922,CHHATT_DC_05,MACA,MOTOR_ACCIDENT,2024,Summons / Appearance,1,139,139,139,SYNTHETIC_AUGMENTED
COHORT_0923,CHHATT_DC_05,WP_C,WRIT_GENERAL,2018,Pleadings / Issues,1,120,120,120,SYNTHETIC_AUGMENTED
COHORT_0924,CHHATT_DC_05,WP_C,WRIT_GENERAL,2018,Summons / Appearance,1,368,368,368,SYNTHETIC_AUGMENTED
COHORT_0925,CHHATT_DC_05,WP_C,WRIT_GENERAL,2020,Summons / Appearance,1,170,170,170,SYNTHETIC_AUGMENTED
COHORT_0926,CHHATT_DC_05,WP_C,WRIT_GENERAL,2022,Evidence / Argument,3,217,217,217,SYNTHETIC_AUGMENTED
COHORT_0927,CHHATT_DC_05,WP_C,WRIT_GENERAL,2022,Final Arguments / Judgment,1,104,104,104,SYNTHETIC_AUGMENTED
COHORT_0928,CHHATT_DC_05,WP_C,WRIT_GENERAL,2024,Summons / Appearance,2,206.5,127,127,SYNTHETIC_AUGMENTED
COHORT_0929,DELHI_DC_01,BA,BAIL_GENERAL,2018,Evidence / Argument,1,380,380,380,SYNTHETIC_AUGMENTED
COHORT_0930,DELHI_DC_01,BA,BAIL_GENERAL,2018,Final Arguments / Judgment,1,186,186,186,SYNTHETIC_AUGMENTED
COHORT_0931,DELHI_DC_01,BA,BAIL_GENERAL,2018,Pleadings / Issues,1,138,138,138,SYNTHETIC_AUGMENTED
COHORT_0932,DELHI_DC_01,BA,BAIL_GENERAL,2018,Summons / Appearance,1,297,297,297,SYNTHETIC_AUGMENTED
COHORT_0933,DELHI_DC_01,BA,BAIL_GENERAL,2020,Evidence / Argument,2,315.5,216,216,SYNTHETIC_AUGMENTED
COHORT_0934,DELHI_DC_01,BA,BAIL_GENERAL,2020,Pleadings / Issues,1,66,66,66,SYNTHETIC_AUGMENTED
COHORT_0935,DELHI_DC_01,BA,BAIL_GENERAL,2020,Summons / Appearance,1,66,66,66,SYNTHETIC_AUGMENTED
COHORT_0936,DELHI_DC_01,BA,BAIL_GENERAL,2022,Evidence / Argument,3,250,250,250,SYNTHETIC_AUGMENTED
COHORT_0937,DELHI_DC_01,BA,BAIL_GENERAL,2022,Filing / Registration,3,14,14,14,SYNTHETIC_AUGMENTED
COHORT_0938,DELHI_DC_01,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,1,135,135,135,SYNTHETIC_AUGMENTED
COHORT_0939,DELHI_DC_01,BA,BAIL_GENERAL,2022,Pleadings / Issues,4,113.0,138,138,SYNTHETIC_AUGMENTED
COHORT_0940,DELHI_DC_01,BA,BAIL_GENERAL,2022,Summons / Appearance,11,106,139,194,SYNTHETIC_AUGMENTED
COHORT_0941,DELHI_DC_01,BA,BAIL_GENERAL,2024,Filing / Registration,1,15,15,15,SYNTHETIC_AUGMENTED
COHORT_0942,DELHI_DC_01,BA,BAIL_GENERAL,2024,Final Arguments / Judgment,3,75,75,75,SYNTHETIC_AUGMENTED
COHORT_0943,DELHI_DC_01,BA,BAIL_GENERAL,2024,Pleadings / Issues,5,142,158,158,SYNTHETIC_AUGMENTED
COHORT_0944,DELHI_DC_01,BA,BAIL_GENERAL,2024,Summons / Appearance,7,140,164,168,SYNTHETIC_AUGMENTED
COHORT_0945,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2018,Evidence / Argument,2,95.5,75,75,SYNTHETIC_AUGMENTED
COHORT_0946,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2018,Pleadings / Issues,1,60,60,60,SYNTHETIC_AUGMENTED
COHORT_0947,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Evidence / Argument,1,183,183,183,SYNTHETIC_AUGMENTED
COHORT_0948,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Filing / Registration,1,13,13,13,SYNTHETIC_AUGMENTED
COHORT_0949,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,2,111.5,102,102,SYNTHETIC_AUGMENTED
COHORT_0950,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2020,Summons / Appearance,3,139,139,139,SYNTHETIC_AUGMENTED
COHORT_0951,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,4,200.5,229,229,SYNTHETIC_AUGMENTED
COHORT_0952,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Final Arguments / Judgment,1,84,84,84,SYNTHETIC_AUGMENTED
COHORT_0953,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,3,114,114,114,SYNTHETIC_AUGMENTED
COHORT_0954,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,3,80,80,80,SYNTHETIC_AUGMENTED
COHORT_0955,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,3,139,139,139,SYNTHETIC_AUGMENTED
COHORT_0956,DELHI_DC_01,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,2,175.0,71,71,SYNTHETIC_AUGMENTED
COHORT_0957,DELHI_DC_01,CS,CPC_GENERAL,2018,Final Arguments / Judgment,1,51,51,51,SYNTHETIC_AUGMENTED
COHORT_0958,DELHI_DC_01,CS,CPC_GENERAL,2018,Summons / Appearance,2,109.5,38,38,SYNTHETIC_AUGMENTED
COHORT_0959,DELHI_DC_01,CS,CPC_GENERAL,2020,Evidence / Argument,1,139,139,139,SYNTHETIC_AUGMENTED
COHORT_0960,DELHI_DC_01,CS,CPC_GENERAL,2020,Final Arguments / Judgment,2,48.5,40,40,SYNTHETIC_AUGMENTED
COHORT_0961,DELHI_DC_01,CS,CPC_GENERAL,2020,Pleadings / Issues,2,117.5,95,95,SYNTHETIC_AUGMENTED
COHORT_0962,DELHI_DC_01,CS,CPC_GENERAL,2020,Summons / Appearance,4,111.0,148,148,SYNTHETIC_AUGMENTED
COHORT_0963,DELHI_DC_01,CS,CPC_GENERAL,2022,Evidence / Argument,6,166.0,177,219,SYNTHETIC_AUGMENTED
COHORT_0964,DELHI_DC_01,CS,CPC_GENERAL,2022,Filing / Registration,2,13.5,13,13,SYNTHETIC_AUGMENTED
COHORT_0965,DELHI_DC_01,CS,CPC_GENERAL,2022,Final Arguments / Judgment,1,51,51,51,SYNTHETIC_AUGMENTED
COHORT_0966,DELHI_DC_01,CS,CPC_GENERAL,2022,Pleadings / Issues,5,116,151,151,SYNTHETIC_AUGMENTED
COHORT_0967,DELHI_DC_01,CS,CPC_GENERAL,2022,Summons / Appearance,6,119.5,143,225,SYNTHETIC_AUGMENTED
COHORT_0968,DELHI_DC_01,CS,CPC_GENERAL,2024,Evidence / Argument,2,132.5,125,125,SYNTHETIC_AUGMENTED
COHORT_0969,DELHI_DC_01,CS,CPC_GENERAL,2024,Filing / Registration,1,11,11,11,SYNTHETIC_AUGMENTED
COHORT_0970,DELHI_DC_01,CS,CPC_GENERAL,2024,Final Arguments / Judgment,2,36.5,31,31,SYNTHETIC_AUGMENTED
COHORT_0971,DELHI_DC_01,CS,CPC_GENERAL,2024,Pleadings / Issues,2,83.5,69,69,SYNTHETIC_AUGMENTED
COHORT_0972,DELHI_DC_01,CS,CPC_GENERAL,2024,Summons / Appearance,7,62,89,127,SYNTHETIC_AUGMENTED
COHORT_0973,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2018,Summons / Appearance,1,411,411,411,SYNTHETIC_AUGMENTED
COHORT_0974,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,1,390,390,390,SYNTHETIC_AUGMENTED
COHORT_0975,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2020,Summons / Appearance,3,348,348,348,SYNTHETIC_AUGMENTED
COHORT_0976,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2022,Filing / Registration,1,5,5,5,SYNTHETIC_AUGMENTED
COHORT_0977,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2022,Final Arguments / Judgment,1,68,68,68,SYNTHETIC_AUGMENTED
COHORT_0978,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2022,Pleadings / Issues,2,106.0,66,66,SYNTHETIC_AUGMENTED
COHORT_0979,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2022,Summons / Appearance,1,127,127,127,SYNTHETIC_AUGMENTED
COHORT_0980,DELHI_DC_01,MACA,MOTOR_ACCIDENT,2024,Summons / Appearance,2,118.0,91,91,SYNTHETIC_AUGMENTED
COHORT_0981,DELHI_DC_01,WP_C,WRIT_GENERAL,2018,Evidence / Argument,1,281,281,281,SYNTHETIC_AUGMENTED
COHORT_0982,DELHI_DC_01,WP_C,WRIT_GENERAL,2018,Filing / Registration,1,11,11,11,SYNTHETIC_AUGMENTED
COHORT_0983,DELHI_DC_01,WP_C,WRIT_GENERAL,2018,Pleadings / Issues,1,193,193,193,SYNTHETIC_AUGMENTED
COHORT_0984,DELHI_DC_01,WP_C,WRIT_GENERAL,2020,Evidence / Argument,1,64,64,64,SYNTHETIC_AUGMENTED
COHORT_0985,DELHI_DC_01,WP_C,WRIT_GENERAL,2020,Final Arguments / Judgment,3,51,51,51,SYNTHETIC_AUGMENTED
COHORT_0986,DELHI_DC_01,WP_C,WRIT_GENERAL,2020,Pleadings / Issues,2,99.0,98,98,SYNTHETIC_AUGMENTED
COHORT_0987,DELHI_DC_01,WP_C,WRIT_GENERAL,2020,Summons / Appearance,3,328,328,328,SYNTHETIC_AUGMENTED
COHORT_0988,DELHI_DC_01,WP_C,WRIT_GENERAL,2022,Filing / Registration,2,18.5,11,11,SYNTHETIC_AUGMENTED
COHORT_0989,DELHI_DC_01,WP_C,WRIT_GENERAL,2022,Final Arguments / Judgment,1,29,29,29,SYNTHETIC_AUGMENTED
COHORT_0990,DELHI_DC_01,WP_C,WRIT_GENERAL,2022,Summons / Appearance,5,124,155,155,SYNTHETIC_AUGMENTED
COHORT_0991,DELHI_DC_01,WP_C,WRIT_GENERAL,2024,Evidence / Argument,1,166,166,166,SYNTHETIC_AUGMENTED
COHORT_0992,DELHI_DC_01,WP_C,WRIT_GENERAL,2024,Pleadings / Issues,1,93,93,93,SYNTHETIC_AUGMENTED
COHORT_0993,DELHI_DC_01,WP_C,WRIT_GENERAL,2024,Summons / Appearance,2,145.5,75,75,SYNTHETIC_AUGMENTED
COHORT_0994,DELHI_DC_02,BA,BAIL_GENERAL,2018,Pleadings / Issues,1,58,58,58,SYNTHETIC_AUGMENTED
COHORT_0995,DELHI_DC_02,BA,BAIL_GENERAL,2018,Summons / Appearance,1,205,205,205,SYNTHETIC_AUGMENTED
COHORT_0996,DELHI_DC_02,BA,BAIL_GENERAL,2020,Evidence / Argument,2,288.0,269,269,SYNTHETIC_AUGMENTED
COHORT_0997,DELHI_DC_02,BA,BAIL_GENERAL,2020,Filing / Registration,1,29,29,29,SYNTHETIC_AUGMENTED
COHORT_0998,DELHI_DC_02,BA,BAIL_GENERAL,2020,Final Arguments / Judgment,1,61,61,61,SYNTHETIC_AUGMENTED
COHORT_0999,DELHI_DC_02,BA,BAIL_GENERAL,2020,Pleadings / Issues,1,92,92,92,SYNTHETIC_AUGMENTED
COHORT_1000,DELHI_DC_02,BA,BAIL_GENERAL,2020,Summons / Appearance,1,35,35,35,SYNTHETIC_AUGMENTED
COHORT_1001,DELHI_DC_02,BA,BAIL_GENERAL,2022,Evidence / Argument,8,143.5,188,214,SYNTHETIC_AUGMENTED
COHORT_1002,DELHI_DC_02,BA,BAIL_GENERAL,2022,Filing / Registration,2,31.5,16,16,SYNTHETIC_AUGMENTED
COHORT_1003,DELHI_DC_02,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,2,62.5,48,48,SYNTHETIC_AUGMENTED
COHORT_1004,DELHI_DC_02,BA,BAIL_GENERAL,2022,Pleadings / Issues,2,115.0,90,90,SYNTHETIC_AUGMENTED
COHORT_1005,DELHI_DC_02,BA,BAIL_GENERAL,2022,Summons / Appearance,7,202,263,295,SYNTHETIC_AUGMENTED
COHORT_1006,DELHI_DC_02,BA,BAIL_GENERAL,2024,Evidence / Argument,2,207.0,205,205,SYNTHETIC_AUGMENTED
COHORT_1007,DELHI_DC_02,BA,BAIL_GENERAL,2024,Pleadings / Issues,3,87,87,87,SYNTHETIC_AUGMENTED
COHORT_1008,DELHI_DC_02,BA,BAIL_GENERAL,2024,Summons / Appearance,6,161.5,236,313,SYNTHETIC_AUGMENTED
COHORT_1009,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Filing / Registration,1,31,31,31,SYNTHETIC_AUGMENTED
COHORT_1010,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Final Arguments / Judgment,1,49,49,49,SYNTHETIC_AUGMENTED
COHORT_1011,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Pleadings / Issues,1,149,149,149,SYNTHETIC_AUGMENTED
COHORT_1012,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2018,Summons / Appearance,3,90,90,90,SYNTHETIC_AUGMENTED
COHORT_1013,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Filing / Registration,3,13,13,13,SYNTHETIC_AUGMENTED
COHORT_1014,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,2,65.5,51,51,SYNTHETIC_AUGMENTED
COHORT_1015,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2020,Summons / Appearance,2,202.0,47,47,SYNTHETIC_AUGMENTED
COHORT_1016,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,4,250.5,292,292,SYNTHETIC_AUGMENTED
COHORT_1017,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Filing / Registration,3,19,19,19,SYNTHETIC_AUGMENTED
COHORT_1018,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Final Arguments / Judgment,1,44,44,44,SYNTHETIC_AUGMENTED
COHORT_1019,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,4,91.0,100,100,SYNTHETIC_AUGMENTED
COHORT_1020,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,4,184.5,229,229,SYNTHETIC_AUGMENTED
COHORT_1021,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Evidence / Argument,1,56,56,56,SYNTHETIC_AUGMENTED
COHORT_1022,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Filing / Registration,1,14,14,14,SYNTHETIC_AUGMENTED
COHORT_1023,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Final Arguments / Judgment,2,48.0,42,42,SYNTHETIC_AUGMENTED
COHORT_1024,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,2,65.0,37,37,SYNTHETIC_AUGMENTED
COHORT_1025,DELHI_DC_02,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,2,97.0,31,31,SYNTHETIC_AUGMENTED
COHORT_1026,DELHI_DC_02,CS,CPC_GENERAL,2018,Evidence / Argument,1,243,243,243,SYNTHETIC_AUGMENTED
COHORT_1027,DELHI_DC_02,CS,CPC_GENERAL,2018,Final Arguments / Judgment,1,21,21,21,SYNTHETIC_AUGMENTED
COHORT_1028,DELHI_DC_02,CS,CPC_GENERAL,2018,Summons / Appearance,2,291.5,259,259,SYNTHETIC_AUGMENTED
COHORT_1029,DELHI_DC_02,CS,CPC_GENERAL,2020,Evidence / Argument,5,197,210,210,SYNTHETIC_AUGMENTED
COHORT_1030,DELHI_DC_02,CS,CPC_GENERAL,2020,Filing / Registration,1,17,17,17,SYNTHETIC_AUGMENTED
COHORT_1031,DELHI_DC_02,CS,CPC_GENERAL,2020,Summons / Appearance,6,75.0,75,80,SYNTHETIC_AUGMENTED
COHORT_1032,DELHI_DC_02,CS,CPC_GENERAL,2022,Evidence / Argument,7,221,252,261,SYNTHETIC_AUGMENTED
COHORT_1033,DELHI_DC_02,CS,CPC_GENERAL,2022,Final Arguments / Judgment,5,73,106,106,SYNTHETIC_AUGMENTED
COHORT_1034,DELHI_DC_02,CS,CPC_GENERAL,2022,Pleadings / Issues,2,52.5,26,26,SYNTHETIC_AUGMENTED
COHORT_1035,DELHI_DC_02,CS,CPC_GENERAL,2022,Summons / Appearance,5,75,110,110,SYNTHETIC_AUGMENTED
COHORT_1036,DELHI_DC_02,CS,CPC_GENERAL,2024,Evidence / Argument,3,123,123,123,SYNTHETIC_AUGMENTED
COHORT_1037,DELHI_DC_02,CS,CPC_GENERAL,2024,Summons / Appearance,6,135.5,203,233,SYNTHETIC_AUGMENTED
COHORT_1038,DELHI_DC_02,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,2,148.0,141,141,SYNTHETIC_AUGMENTED
COHORT_1039,DELHI_DC_02,MACA,MOTOR_ACCIDENT,2022,Evidence / Argument,1,278,278,278,SYNTHETIC_AUGMENTED
COHORT_1040,DELHI_DC_02,MACA,MOTOR_ACCIDENT,2024,Evidence / Argument,2,138.5,82,82,SYNTHETIC_AUGMENTED
COHORT_1041,DELHI_DC_02,MACA,MOTOR_ACCIDENT,2024,Pleadings / Issues,1,39,39,39,SYNTHETIC_AUGMENTED
COHORT_1042,DELHI_DC_02,MACA,MOTOR_ACCIDENT,2024,Summons / Appearance,1,43,43,43,SYNTHETIC_AUGMENTED
COHORT_1043,DELHI_DC_02,WP_C,WRIT_GENERAL,2018,Summons / Appearance,1,159,159,159,SYNTHETIC_AUGMENTED
COHORT_1044,DELHI_DC_02,WP_C,WRIT_GENERAL,2020,Evidence / Argument,3,193,193,193,SYNTHETIC_AUGMENTED
COHORT_1045,DELHI_DC_02,WP_C,WRIT_GENERAL,2020,Filing / Registration,3,11,11,11,SYNTHETIC_AUGMENTED
COHORT_1046,DELHI_DC_02,WP_C,WRIT_GENERAL,2020,Final Arguments / Judgment,1,47,47,47,SYNTHETIC_AUGMENTED
COHORT_1047,DELHI_DC_02,WP_C,WRIT_GENERAL,2020,Pleadings / Issues,3,60,60,60,SYNTHETIC_AUGMENTED
COHORT_1048,DELHI_DC_02,WP_C,WRIT_GENERAL,2020,Summons / Appearance,2,104.0,75,75,SYNTHETIC_AUGMENTED
COHORT_1049,DELHI_DC_02,WP_C,WRIT_GENERAL,2022,Evidence / Argument,1,58,58,58,SYNTHETIC_AUGMENTED
COHORT_1050,DELHI_DC_02,WP_C,WRIT_GENERAL,2022,Filing / Registration,4,18.0,19,19,SYNTHETIC_AUGMENTED
COHORT_1051,DELHI_DC_02,WP_C,WRIT_GENERAL,2022,Pleadings / Issues,3,131,131,131,SYNTHETIC_AUGMENTED
COHORT_1052,DELHI_DC_02,WP_C,WRIT_GENERAL,2022,Summons / Appearance,5,161,164,164,SYNTHETIC_AUGMENTED
COHORT_1053,DELHI_DC_02,WP_C,WRIT_GENERAL,2024,Evidence / Argument,3,231,231,231,SYNTHETIC_AUGMENTED
COHORT_1054,DELHI_DC_02,WP_C,WRIT_GENERAL,2024,Filing / Registration,1,8,8,8,SYNTHETIC_AUGMENTED
COHORT_1055,DELHI_DC_02,WP_C,WRIT_GENERAL,2024,Final Arguments / Judgment,1,180,180,180,SYNTHETIC_AUGMENTED
COHORT_1056,DELHI_DC_02,WP_C,WRIT_GENERAL,2024,Pleadings / Issues,1,148,148,148,SYNTHETIC_AUGMENTED
COHORT_1057,DELHI_DC_02,WP_C,WRIT_GENERAL,2024,Summons / Appearance,2,144.5,104,104,SYNTHETIC_AUGMENTED
COHORT_1058,DELHI_DC_03,BA,BAIL_GENERAL,2018,Final Arguments / Judgment,1,92,92,92,SYNTHETIC_AUGMENTED
COHORT_1059,DELHI_DC_03,BA,BAIL_GENERAL,2018,Pleadings / Issues,1,163,163,163,SYNTHETIC_AUGMENTED
COHORT_1060,DELHI_DC_03,BA,BAIL_GENERAL,2018,Summons / Appearance,3,55,55,55,SYNTHETIC_AUGMENTED
COHORT_1061,DELHI_DC_03,BA,BAIL_GENERAL,2020,Evidence / Argument,2,408.0,376,376,SYNTHETIC_AUGMENTED
COHORT_1062,DELHI_DC_03,BA,BAIL_GENERAL,2020,Pleadings / Issues,2,138.0,64,64,SYNTHETIC_AUGMENTED
COHORT_1063,DELHI_DC_03,BA,BAIL_GENERAL,2020,Summons / Appearance,4,203.0,215,215,SYNTHETIC_AUGMENTED
COHORT_1064,DELHI_DC_03,BA,BAIL_GENERAL,2022,Evidence / Argument,5,185,237,237,SYNTHETIC_AUGMENTED
COHORT_1065,DELHI_DC_03,BA,BAIL_GENERAL,2022,Filing / Registration,6,22.5,23,35,SYNTHETIC_AUGMENTED
COHORT_1066,DELHI_DC_03,BA,BAIL_GENERAL,2022,Final Arguments / Judgment,2,120.0,114,114,SYNTHETIC_AUGMENTED
COHORT_1067,DELHI_DC_03,BA,BAIL_GENERAL,2022,Pleadings / Issues,1,74,74,74,SYNTHETIC_AUGMENTED
COHORT_1068,DELHI_DC_03,BA,BAIL_GENERAL,2022,Summons / Appearance,7,91,213,248,SYNTHETIC_AUGMENTED
COHORT_1069,DELHI_DC_03,BA,BAIL_GENERAL,2024,Evidence / Argument,3,243,243,243,SYNTHETIC_AUGMENTED
COHORT_1070,DELHI_DC_03,BA,BAIL_GENERAL,2024,Pleadings / Issues,4,112.0,129,129,SYNTHETIC_AUGMENTED
COHORT_1071,DELHI_DC_03,BA,BAIL_GENERAL,2024,Summons / Appearance,6,151.5,162,191,SYNTHETIC_AUGMENTED
COHORT_1072,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2018,Summons / Appearance,1,313,313,313,SYNTHETIC_AUGMENTED
COHORT_1073,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Evidence / Argument,1,160,160,160,SYNTHETIC_AUGMENTED
COHORT_1074,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Filing / Registration,1,43,43,43,SYNTHETIC_AUGMENTED
COHORT_1075,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Final Arguments / Judgment,1,79,79,79,SYNTHETIC_AUGMENTED
COHORT_1076,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2020,Pleadings / Issues,3,114,114,114,SYNTHETIC_AUGMENTED
COHORT_1077,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Evidence / Argument,3,223,223,223,SYNTHETIC_AUGMENTED
COHORT_1078,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Pleadings / Issues,2,96.5,87,87,SYNTHETIC_AUGMENTED
COHORT_1079,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2022,Summons / Appearance,1,70,70,70,SYNTHETIC_AUGMENTED
COHORT_1080,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Filing / Registration,1,15,15,15,SYNTHETIC_AUGMENTED
COHORT_1081,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Pleadings / Issues,1,83,83,83,SYNTHETIC_AUGMENTED
COHORT_1082,DELHI_DC_03,CRL_A,CRIMINAL_APPEAL,2024,Summons / Appearance,2,150.0,61,61,SYNTHETIC_AUGMENTED
COHORT_1083,DELHI_DC_03,CS,CPC_GENERAL,2018,Summons / Appearance,1,400,400,400,SYNTHETIC_AUGMENTED
COHORT_1084,DELHI_DC_03,CS,CPC_GENERAL,2020,Evidence / Argument,2,268.0,139,139,SYNTHETIC_AUGMENTED
COHORT_1085,DELHI_DC_03,CS,CPC_GENERAL,2020,Final Arguments / Judgment,1,65,65,65,SYNTHETIC_AUGMENTED
COHORT_1086,DELHI_DC_03,CS,CPC_GENERAL,2020,Pleadings / Issues,2,210.0,171,171,SYNTHETIC_AUGMENTED
COHORT_1087,DELHI_DC_03,CS,CPC_GENERAL,2020,Summons / Appearance,1,348,348,348,SYNTHETIC_AUGMENTED
COHORT_1088,DELHI_DC_03,CS,CPC_GENERAL,2022,Evidence / Argument,5,159,232,232,SYNTHETIC_AUGMENTED
COHORT_1089,DELHI_DC_03,CS,CPC_GENERAL,2022,Filing / Registration,1,32,32,32,SYNTHETIC_AUGMENTED
COHORT_1090,DELHI_DC_03,CS,CPC_GENERAL,2022,Final Arguments / Judgment,5,81,85,85,SYNTHETIC_AUGMENTED
COHORT_1091,DELHI_DC_03,CS,CPC_GENERAL,2022,Pleadings / Issues,4,95.5,100,100,SYNTHETIC_AUGMENTED
COHORT_1092,DELHI_DC_03,CS,CPC_GENERAL,2022,Summons / Appearance,3,69,69,69,SYNTHETIC_AUGMENTED
COHORT_1093,DELHI_DC_03,CS,CPC_GENERAL,2024,Pleadings / Issues,1,84,84,84,SYNTHETIC_AUGMENTED
COHORT_1094,DELHI_DC_03,CS,CPC_GENERAL,2024,Summons / Appearance,2,246.5,99,99,SYNTHETIC_AUGMENTED
COHORT_1095,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2018,Pleadings / Issues,2,63.0,13,13,SYNTHETIC_AUGMENTED
COHORT_1096,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2020,Evidence / Argument,1,107,107,107,SYNTHETIC_AUGMENTED
COHORT_1097,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2020,Summons / Appearance,2,141.0,35,35,SYNTHETIC_AUGMENTED
COHORT_1098,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2022,Evidence / Argument,1,101,101,101,SYNTHETIC_AUGMENTED
COHORT_1099,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2022,Filing / Registration,1,17,17,17,SYNTHETIC_AUGMENTED
COHORT_1100,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2022,Summons / Appearance,1,103,103,103,SYNTHETIC_AUGMENTED
COHORT_1101,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2024,Evidence / Argument,1,212,212,212,SYNTHETIC_AUGMENTED
COHORT_1102,DELHI_DC_03,MACA,MOTOR_ACCIDENT,2024,Summons / Appearance,1,259,259,259,SYNTHETIC_AUGMENTED
COHORT_1103,DELHI_DC_03,WP_C,WRIT_GENERAL,2018,Final Arguments / Judgment,1,98,98,98,SYNTHETIC_AUGMENTED
COHORT_1104,DELHI_DC_03,WP_C,WRIT_GENERAL,2020,Evidence / Argument,4,228.5,295,295,SYNTHETIC_AUGMENTED
COHORT_1105,DELHI_DC_03,WP_C,WRIT_GENERAL,2020,Filing / Registration,1,25,25,25,SYNTHETIC_AUGMENTED
COHORT_1106,DELHI_DC_03,WP_C,WRIT_GENERAL,2020,Final Arguments / Judgment,1,44,44,44,SYNTHETIC_AUGMENTED
COHORT_1107,DELHI_DC_03,WP_C,WRIT_GENERAL,2020,Pleadings / Issues,1,113,113,113,SYNTHETIC_AUGMENTED
COHORT_1108,DELHI_DC_03,WP_C,WRIT_GENERAL,2020,Summons / Appearance,2,79.0,69,69,SYNTHETIC_AUGMENTED
COHORT_1109,DELHI_DC_03,WP_C,WRIT_GENERAL,2022,Evidence / Argument,1,216,216,216,SYNTHETIC_AUGMENTED
COHORT_1110,DELHI_DC_03,WP_C,WRIT_GENERAL,2022,Final Arguments / Judgment,3,79,79,79,SYNTHETIC_AUGMENTED
COHORT_1111,DELHI_DC_03,WP_C,WRIT_GENERAL,2022,Pleadings / Issues,5,105,119,119,SYNTHETIC_AUGMENTED
COHORT_1112,DELHI_DC_03,WP_C,WRIT_GENERAL,2022,Summons / Appearance,6,159.5,164,306,SYNTHETIC_AUGMENTED
