synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_date,registration_date,pending_since,filing_year,filing_year_bucket,case_age_days,current_status,current_stage,stage_entered_at,first_hearing_date,next_date,court_bench_id,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,is_demo_stalled,is_demo_progressing,data_label,generation_source,evidence_json,explanation_text
SYN/UP/CS/2023/002596,Uttar Pradesh,Lucknow,UTTAR__DC_01,CS,CPC_GENERAL,district,2023-04-14,2023-04-27,2023-04-27,2023,2022,1220,Pending,Evidence / Argument,2025-08-15,2023-05-05,2026-08-26,SYN-BENCH-05,366,242,0,0,1,1.89,10,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,41.5,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/CS/2023/002596"",""court_establishment"":""UTTAR__DC_01"",""case_type"":""CS"",""current_stage"":""Evidence / Argument"",""filing_date"":""2023-04-14"",""stage_entered_at"":""2025-08-15"",""days_in_current_stage"":366,""cohort_median_days_in_stage"":193.5,""stage_deviation_ratio"":1.89,""days_since_substantive_event"":242,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":10,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":41.5,""component_scores"":{""structural_deviation"":37.8,""inactivity"":80.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 366 days (1.89x cohort median of 194d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/BA/2022/002597,Telangana,Thiruvananthapuram,TELANG_DC_05,BA,BAIL_GENERAL,district,2022-09-13,2022-09-17,2022-09-17,2022,2022,1433,Pending,Evidence / Argument,2026-04-12,2022-10-18,2026-10-22,SYN-BENCH-05,126,5,0,0,1,0.71,3,,UNKNOWN,LOW,LOW,0,4.7,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2022/002597"",""court_establishment"":""TELANG_DC_05"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2022-09-13"",""stage_entered_at"":""2026-04-12"",""days_in_current_stage"":126,""cohort_median_days_in_stage"":178,""stage_deviation_ratio"":0.71,""days_since_substantive_event"":5,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":4.7,""component_scores"":{""structural_deviation"":14.2,""inactivity"":1.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 126 days (0.71x cohort median of 178d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/AP/CRL_A/2023/002598,Andhra Pradesh,Jaipur,ANDHRA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2023-10-15,2023-10-21,2023-10-21,2023,2022,1036,Pending,Final Arguments / Judgment,2026-03-03,2023-11-18,2026-09-17,SYN-BENCH-02,166,95,0,0,0,0.91,2,,UNKNOWN,LOW,LOW,1,13.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/AP/CRL_A/2023/002598"",""court_establishment"":""ANDHRA_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2023-10-15"",""stage_entered_at"":""2026-03-03"",""days_in_current_stage"":166,""cohort_median_days_in_stage"":182.0,""stage_deviation_ratio"":0.91,""days_since_substantive_event"":95,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":13.4,""component_scores"":{""structural_deviation"":18.2,""inactivity"":31.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 166 days (0.91x cohort median of 182d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/UP/CS/2023/002599,Uttar Pradesh,Kochi,UTTAR__DC_03,CS,CPC_GENERAL,district,2023-08-02,2023-08-14,2023-08-14,2023,2022,1110,Pending,Evidence / Argument,2026-03-28,2023-09-29,2026-09-27,SYN-BENCH-08,141,34,0,0,0,0.77,11,,UNKNOWN,LOW,LOW,0,7.5,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/CS/2023/002599"",""court_establishment"":""UTTAR__DC_03"",""case_type"":""CS"",""current_stage"":""Evidence / Argument"",""filing_date"":""2023-08-02"",""stage_entered_at"":""2026-03-28"",""days_in_current_stage"":141,""cohort_median_days_in_stage"":182,""stage_deviation_ratio"":0.77,""days_since_substantive_event"":34,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":11,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.5,""component_scores"":{""structural_deviation"":15.4,""inactivity"":11.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 141 days (0.77x cohort median of 182d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/DL/MACA/2021/002600,Delhi,Thiruvananthapuram,DELHI_DC_04,MACA,MOTOR_ACCIDENT,district,2021-06-13,2021-06-18,2021-06-18,2021,2020,1890,Pending,Pleadings / Issues,2026-06-09,2021-07-23,2026-09-17,SYN-BENCH-09,68,47,0,0,0,0.72,3,,UNKNOWN,LOW,LOW,0,8.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/MACA/2021/002600"",""court_establishment"":""DELHI_DC_04"",""case_type"":""MACA"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2021-06-13"",""stage_entered_at"":""2026-06-09"",""days_in_current_stage"":68,""cohort_median_days_in_stage"":95,""stage_deviation_ratio"":0.72,""days_since_substantive_event"":47,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":8.2,""component_scores"":{""structural_deviation"":14.4,""inactivity"":15.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 68 days (0.72x cohort median of 95d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/WP_C/2023/002601,Kerala,Vijayawada,KERALA_DC_05,WP_C,WRIT_GENERAL,district,2023-11-14,2023-11-25,2023-11-25,2023,2022,1006,Pending,Final Arguments / Judgment,2026-06-21,2023-12-07,2026-09-22,SYN-BENCH-08,56,9,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/WP_C/2023/002601"",""court_establishment"":""KERALA_DC_05"",""case_type"":""WP_C"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2023-11-14"",""stage_entered_at"":""2026-06-21"",""days_in_current_stage"":56,""cohort_median_days_in_stage"":56,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":9,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.8,""component_scores"":{""structural_deviation"":20.0,""inactivity"":3.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 56 days (1.0x cohort median of 56d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/CRL_A/2020/002602,Kerala,Pune,KERALA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2020-10-31,2020-11-07,2020-11-07,2020,2020,2115,Pending,Summons / Appearance,2025-10-27,2021-01-02,2026-09-23,SYN-BENCH-08,293,348,6,6,3,2.32,4,,SUMMONS_DELAY,HIGH,LOW,1,68.9,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2020/002602"",""court_establishment"":""KERALA_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2020-10-31"",""stage_entered_at"":""2025-10-27"",""days_in_current_stage"":293,""cohort_median_days_in_stage"":126.5,""stage_deviation_ratio"":2.32,""days_since_substantive_event"":348,""adjournment_streak"":6,""adjournment_count"":6,""judge_change_count"":3,""cohort_size"":4,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":68.9,""component_scores"":{""structural_deviation"":46.4,""inactivity"":100.0,""age_deviation"":0,""adjournment"":100.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 293 days (2.32x cohort median of 126d). Summons was issued with no return of service recorded over 293 days, resulting in 6 consecutive adjournments. High administrative actionability."
SYN/OT/BA/2023/002603,West Bengal,Varanasi,WEST_B_DC_02,BA,BAIL_GENERAL,district,2023-02-12,2023-02-18,2023-02-18,2023,2022,1281,Pending,Summons / Appearance,2026-05-04,2023-03-11,2026-11-04,SYN-BENCH-12,104,248,0,0,0,0.81,2,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,35.5,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2023/002603"",""court_establishment"":""WEST_B_DC_02"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2023-02-12"",""stage_entered_at"":""2026-05-04"",""days_in_current_stage"":104,""cohort_median_days_in_stage"":128.0,""stage_deviation_ratio"":0.81,""days_since_substantive_event"":248,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":35.5,""component_scores"":{""structural_deviation"":16.2,""inactivity"":82.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Summons / Appearance' for 104 days (0.81x cohort median of 128d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/UP/CRL_A/2023/002604,Uttar Pradesh,Lucknow,UTTAR__DC_02,CRL_A,CRIMINAL_APPEAL,district,2023-12-14,2023-12-26,2023-12-26,2023,2022,976,Pending,Pleadings / Issues,2026-05-22,2024-02-07,2026-10-01,SYN-BENCH-05,86,9,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,6.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/CRL_A/2023/002604"",""court_establishment"":""UTTAR__DC_02"",""case_type"":""CRL_A"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2023-12-14"",""stage_entered_at"":""2026-05-22"",""days_in_current_stage"":86,""cohort_median_days_in_stage"":86,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":9,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.8,""component_scores"":{""structural_deviation"":20.0,""inactivity"":3.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 86 days (1.0x cohort median of 86d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CS/2018/002605,Telangana,Thane,TELANG_DC_01,CS,CPC_GENERAL,district,2018-05-15,2018-05-23,2018-05-23,2018,2018,3015,Pending,Final Arguments / Judgment,2026-05-12,2018-07-16,2026-10-09,SYN-BENCH-07,96,89,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,1,13.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2018/002605"",""court_establishment"":""TELANG_DC_01"",""case_type"":""CS"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2018-05-15"",""stage_entered_at"":""2026-05-12"",""days_in_current_stage"":96,""cohort_median_days_in_stage"":96,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":89,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":13.4,""component_scores"":{""structural_deviation"":20.0,""inactivity"":29.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 96 days (1.0x cohort median of 96d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/MH/WP_C/2020/002606,Maharashtra,Thane,MAHARA_DC_01,WP_C,WRIT_GENERAL,district,2020-12-12,2020-12-22,2020-12-22,2020,2020,2073,Pending,Filing / Registration,2026-07-31,2021-01-01,2026-09-08,SYN-BENCH-06,16,5,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/WP_C/2020/002606"",""court_establishment"":""MAHARA_DC_01"",""case_type"":""WP_C"",""current_stage"":""Filing / Registration"",""filing_date"":""2020-12-12"",""stage_entered_at"":""2026-07-31"",""days_in_current_stage"":16,""cohort_median_days_in_stage"":16,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":5,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.4,""component_scores"":{""structural_deviation"":20.0,""inactivity"":1.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Filing / Registration' for 16 days (1.0x cohort median of 16d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/MH/CS/2022/002607,Maharashtra,Bhopal,MAHARA_DC_03,CS,CPC_GENERAL,district,2022-01-12,2022-01-19,2022-01-19,2022,2022,1677,Pending,Summons / Appearance,2026-06-09,2022-02-11,2026-10-09,SYN-BENCH-06,68,36,0,0,1,0.5,15,100.0,UNKNOWN,LOW,HIGH,0,21.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/CS/2022/002607"",""court_establishment"":""MAHARA_DC_03"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-01-12"",""stage_entered_at"":""2026-06-09"",""days_in_current_stage"":68,""cohort_median_days_in_stage"":136,""stage_deviation_ratio"":0.5,""days_since_substantive_event"":36,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":15,""cohort_age_percentile"":100.0,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""HIGH"",""triage_score"":21.0,""component_scores"":{""structural_deviation"":10.0,""inactivity"":12.0,""age_deviation"":100.0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 68 days (0.5x cohort median of 136d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CRL_A/2018/002608,Assam,Bhopal,ASSAM_DC_01,CRL_A,CRIMINAL_APPEAL,district,2018-01-30,2018-02-12,2018-02-12,2018,2018,3120,Pending,Final Arguments / Judgment,2026-07-09,2018-03-21,2026-09-19,SYN-BENCH-12,38,16,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,7.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2018/002608"",""court_establishment"":""ASSAM_DC_01"",""case_type"":""CRL_A"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2018-01-30"",""stage_entered_at"":""2026-07-09"",""days_in_current_stage"":38,""cohort_median_days_in_stage"":38,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":16,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.3,""component_scores"":{""structural_deviation"":20.0,""inactivity"":5.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Final Arguments / Judgment' for 38 days (1.0x cohort median of 38d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/UP/BA/2018/002609,Uttar Pradesh,Delhi,UTTAR__DC_01,BA,BAIL_GENERAL,district,2018-09-03,2018-09-17,2018-09-17,2018,2018,2904,Pending,Summons / Appearance,2026-04-03,2018-10-19,2026-09-02,SYN-BENCH-04,135,14,0,0,0,1.0,3,,UNKNOWN,LOW,LOW,0,7.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/BA/2018/002609"",""court_establishment"":""UTTAR__DC_01"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2018-09-03"",""stage_entered_at"":""2026-04-03"",""days_in_current_stage"":135,""cohort_median_days_in_stage"":135,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":14,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.2,""component_scores"":{""structural_deviation"":20.0,""inactivity"":4.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 135 days (1.0x cohort median of 135d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/BA/2020/002610,Kerala,Vijayawada,KERALA_DC_05,BA,BAIL_GENERAL,district,2020-06-09,2020-06-24,2020-06-24,2020,2020,2259,Pending,Summons / Appearance,2025-08-16,2020-07-15,2026-09-16,SYN-BENCH-03,365,127,5,5,1,1.29,4,,SUMMONS_DELAY,HIGH,LOW,1,48.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/BA/2020/002610"",""court_establishment"":""KERALA_DC_05"",""case_type"":""BA"",""current_stage"":""Summons / Appearance"",""filing_date"":""2020-06-09"",""stage_entered_at"":""2025-08-16"",""days_in_current_stage"":365,""cohort_median_days_in_stage"":283.5,""stage_deviation_ratio"":1.29,""days_since_substantive_event"":127,""adjournment_streak"":5,""adjournment_count"":5,""judge_change_count"":1,""cohort_size"":4,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":48.3,""component_scores"":{""structural_deviation"":25.8,""inactivity"":42.33,""age_deviation"":0,""adjournment"":100.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 365 days (1.29x cohort median of 284d). Summons was issued with no return of service recorded over 365 days, resulting in 5 consecutive adjournments. High administrative actionability."
SYN/KL/CRL_A/2024/002611,Kerala,Thiruvananthapuram,KERALA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2024-11-02,2024-11-16,2024-11-16,2024,2024,652,Pending,Evidence / Argument,2026-03-22,2025-01-04,2026-09-06,SYN-BENCH-11,147,28,0,0,0,0.58,6,,UNKNOWN,LOW,LOW,0,5.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2024/002611"",""court_establishment"":""KERALA_DC_01"",""case_type"":""CRL_A"",""current_stage"":""Evidence / Argument"",""filing_date"":""2024-11-02"",""stage_entered_at"":""2026-03-22"",""days_in_current_stage"":147,""cohort_median_days_in_stage"":254.0,""stage_deviation_ratio"":0.58,""days_since_substantive_event"":28,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":6,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":5.8,""component_scores"":{""structural_deviation"":11.6,""inactivity"":9.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 147 days (0.58x cohort median of 254d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/DL/BA/2024/002612,Delhi,Delhi,DELHI_DC_03,BA,BAIL_GENERAL,district,2024-06-10,2024-06-22,2024-06-22,2024,2024,797,Pending,Pleadings / Issues,2026-06-18,2024-07-13,2026-08-25,SYN-BENCH-10,59,9,0,0,1,0.53,4,,UNKNOWN,LOW,LOW,0,3.9,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/BA/2024/002612"",""court_establishment"":""DELHI_DC_03"",""case_type"":""BA"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2024-06-10"",""stage_entered_at"":""2026-06-18"",""days_in_current_stage"":59,""cohort_median_days_in_stage"":112.0,""stage_deviation_ratio"":0.53,""days_since_substantive_event"":9,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":4,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":3.9,""component_scores"":{""structural_deviation"":10.6,""inactivity"":3.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 59 days (0.53x cohort median of 112d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/MH/WP_C/2022/002613,Maharashtra,Varanasi,MAHARA_DC_03,WP_C,WRIT_GENERAL,district,2022-03-13,2022-03-24,2022-03-24,2022,2022,1617,Pending,Summons / Appearance,2026-03-02,2022-04-15,2026-10-08,SYN-BENCH-01,167,195,4,4,2,1.0,5,,SUMMONS_DELAY,HIGH,LOW,1,50.2,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/WP_C/2022/002613"",""court_establishment"":""MAHARA_DC_03"",""case_type"":""WP_C"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-03-13"",""stage_entered_at"":""2026-03-02"",""days_in_current_stage"":167,""cohort_median_days_in_stage"":167,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":195,""adjournment_streak"":4,""adjournment_count"":4,""judge_change_count"":2,""cohort_size"":5,""cohort_age_percentile"":null,""bottleneck_type"":""SUMMONS_DELAY"",""actionability_level"":""HIGH"",""triage_confidence"":""LOW"",""triage_score"":50.2,""component_scores"":{""structural_deviation"":20.0,""inactivity"":65.0,""age_deviation"":0,""adjournment"":80.0,""actionability"":100}}","Case has been in stage 'Summons / Appearance' for 167 days (1.0x cohort median of 167d). Summons was issued with no return of service recorded over 167 days, resulting in 4 consecutive adjournments. High administrative actionability."
SYN/OT/CRL_A/2024/002614,Madhya Pradesh,Kochi,MADHYA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2024-06-10,2024-06-18,2024-06-18,2024,2024,797,Pending,Summons / Appearance,2026-07-07,2024-08-13,2026-09-19,SYN-BENCH-07,40,12,0,0,1,1.0,1,,UNKNOWN,LOW,LOW,0,7.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2024/002614"",""court_establishment"":""MADHYA_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2024-06-10"",""stage_entered_at"":""2026-07-07"",""days_in_current_stage"":40,""cohort_median_days_in_stage"":40,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":12,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.0,""component_scores"":{""structural_deviation"":20.0,""inactivity"":4.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 40 days (1.0x cohort median of 40d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/AP/CRL_A/2019/002615,Andhra Pradesh,Bhopal,ANDHRA_DC_04,CRL_A,CRIMINAL_APPEAL,district,2019-08-08,2019-08-22,2019-08-22,2019,2018,2565,Pending,Final Arguments / Judgment,2026-05-19,2019-09-15,2026-10-20,SYN-BENCH-03,89,252,1,1,0,1.0,1,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,39.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/AP/CRL_A/2019/002615"",""court_establishment"":""ANDHRA_DC_04"",""case_type"":""CRL_A"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2019-08-08"",""stage_entered_at"":""2026-05-19"",""days_in_current_stage"":89,""cohort_median_days_in_stage"":89,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":252,""adjournment_streak"":1,""adjournment_count"":1,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":39.0,""component_scores"":{""structural_deviation"":20.0,""inactivity"":84.0,""age_deviation"":0,""adjournment"":20.0,""actionability"":50}}",Case has been in stage 'Final Arguments / Judgment' for 89 days (1.0x cohort median of 89d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/OT/CS/2024/002616,Telangana,Bhopal,TELANG_DC_02,CS,CPC_GENERAL,district,2024-02-16,2024-02-24,2024-02-24,2024,2024,912,Pending,Filing / Registration,2026-07-30,2024-03-10,2026-10-19,SYN-BENCH-05,17,4,0,0,0,1.0,1,,UNKNOWN,LOW,LOW,0,6.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2024/002616"",""court_establishment"":""TELANG_DC_02"",""case_type"":""CS"",""current_stage"":""Filing / Registration"",""filing_date"":""2024-02-16"",""stage_entered_at"":""2026-07-30"",""days_in_current_stage"":17,""cohort_median_days_in_stage"":17,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":4,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":1,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":6.3,""component_scores"":{""structural_deviation"":20.0,""inactivity"":1.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Filing / Registration' for 17 days (1.0x cohort median of 17d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
