synthetic_cnr,state,district,court_establishment,case_type,tier,filing_year,case_age_days,current_stage,adjournment_count,judge_change_count,structural_stall_label
SYN/OT/BA/2023/001857,Madhya Pradesh,Guntur,MADHYA_DC_01,BA,district,2023,1107,Summons / Appearance,2,1,1
SYN/OT/CS/2023/001858,Jharkhand,Thiruvananthapuram,JHARKH_DC_01,CS,district,2023,1019,Summons / Appearance,0,0,0
SYN/OT/CS/2022/001859,Assam,Varanasi,ASSAM_DC_04,CS,district,2022,1615,Summons / Appearance,3,1,1
SYN/DL/BA/2022/001860,Delhi,Pune,DELHI_DC_05,BA,district,2022,1439,Summons / Appearance,1,0,0
SYN/KL/BA/2018/001861,Kerala,Varanasi,KERALA_DC_04,BA,district,2018,3084,Summons / Appearance,5,0,0
SYN/UP/WP_C/2024/001862,Uttar Pradesh,Thane,UTTAR__DC_02,WP_C,district,2024,929,Evidence / Argument,2,2,1
SYN/KL/CS/2022/001863,Kerala,Bhopal,KERALA_DC_02,CS,district,2022,1647,Final Arguments / Judgment,2,0,0
SYN/OT/BA/2024/001864,Odisha,Guntur,ODISHA_DC_05,BA,district,2024,849,Evidence / Argument,2,1,1
SYN/UP/BA/2022/001865,Uttar Pradesh,Thane,UTTAR__DC_03,BA,district,2022,1489,Evidence / Argument,0,0,0
SYN/UP/BA/2021/001866,Uttar Pradesh,Thiruvananthapuram,UTTAR__DC_01,BA,district,2021,1901,Evidence / Argument,2,1,0
SYN/KL/CS/2022/001867,Kerala,Thane,KERALA_DC_03,CS,district,2022,1490,Summons / Appearance,0,1,0
SYN/KL/CRL_A/2020/001868,Kerala,Kochi,KERALA_DC_01,CRL_A,district,2020,2089,Summons / Appearance,1,0,0
SYN/OT/CS/2021/001869,Karnataka,Thiruvananthapuram,KARNAT_DC_05,CS,district,2021,1777,Pleadings / Issues,0,0,0
SYN/OT/CRL_A/2020/001870,Karnataka,Varanasi,KARNAT_DC_05,CRL_A,district,2020,2362,Evidence / Argument,0,0,0
SYN/DL/CS/2020/001871,Delhi,Kolkata,DELHI_DC_04,CS,district,2020,2395,Evidence / Argument,1,2,1
SYN/OT/CS/2023/001872,Punjab,Kochi,PUNJAB_DC_05,CS,district,2023,1007,Summons / Appearance,2,2,1
SYN/UP/BA/2024/001873,Uttar Pradesh,Thane,UTTAR__DC_04,BA,district,2024,777,Summons / Appearance,1,0,0
SYN/KL/BA/2020/001874,Kerala,Jaipur,KERALA_DC_03,BA,district,2020,2281,Evidence / Argument,5,0,0
SYN/AP/BA/2022/001875,Andhra Pradesh,Kolkata,ANDHRA_DC_02,BA,district,2022,1431,Summons / Appearance,2,0,0
SYN/OT/BA/2023/001876,Assam,Bhopal,ASSAM_DC_04,BA,district,2023,962,Summons / Appearance,3,1,0
SYN/AP/BA/2021/001877,Andhra Pradesh,Kochi,ANDHRA_DC_02,BA,district,2021,1781,Evidence / Argument,4,1,1
SYN/UP/CRL_A/2024/001878,Uttar Pradesh,Guntur,UTTAR__DC_05,CRL_A,district,2024,722,Summons / Appearance,0,0,0
SYN/UP/BA/2022/001879,Uttar Pradesh,Lucknow,UTTAR__DC_05,BA,district,2022,1399,Final Arguments / Judgment,3,1,0
SYN/AP/BA/2019/001880,Andhra Pradesh,Kochi,ANDHRA_DC_02,BA,district,2019,2581,Evidence / Argument,2,0,0
SYN/OT/BA/2024/001881,Telangana,Guntur,TELANG_DC_03,BA,district,2024,867,Evidence / Argument,1,1,0
SYN/OT/MACA/2023/001882,Madhya Pradesh,Guntur,MADHYA_DC_03,MACA,district,2023,1079,Summons / Appearance,6,0,1
SYN/MH/WP_C/2018/001883,Maharashtra,Kolkata,MAHARA_DC_04,WP_C,district,2018,2895,Filing / Registration,2,0,0
SYN/KL/WP_C/2024/001884,Kerala,Guntur,KERALA_DC_02,WP_C,district,2024,851,Summons / Appearance,4,1,1
SYN/OT/CRL_A/2023/001885,Jharkhand,Pune,JHARKH_DC_04,CRL_A,district,2023,1231,Summons / Appearance,2,0,0
SYN/OT/CS/2023/001886,Rajasthan,Bhopal,RAJAST_DC_05,CS,district,2023,981,Final Arguments / Judgment,3,0,0
SYN/OT/CS/2024/001887,Gujarat,Kolkata,GUJARA_DC_05,CS,district,2024,691,Final Arguments / Judgment,2,0,0
SYN/UP/WP_C/2023/001888,Uttar Pradesh,Thane,UTTAR__DC_03,WP_C,district,2023,1196,Evidence / Argument,3,0,0
SYN/MH/CS/2023/001889,Maharashtra,Delhi,MAHARA_DC_02,CS,district,2023,1292,Pleadings / Issues,4,0,0
SYN/AP/WP_C/2024/001890,Andhra Pradesh,Thiruvananthapuram,ANDHRA_DC_03,WP_C,district,2024,635,Pleadings / Issues,3,0,0
SYN/KL/CRL_A/2023/001891,Kerala,Lucknow,KERALA_DC_02,CRL_A,district,2023,1285,Summons / Appearance,3,0,0
SYN/OT/CS/2019/001892,West Bengal,Kolkata,WEST_B_DC_05,CS,district,2019,2775,Evidence / Argument,2,0,1
SYN/AP/CS/2024/001893,Andhra Pradesh,Kolkata,ANDHRA_DC_04,CS,district,2024,864,Summons / Appearance,4,0,1
SYN/MH/BA/2021/001894,Maharashtra,Thiruvananthapuram,MAHARA_DC_02,BA,district,2021,1970,Evidence / Argument,3,0,0
SYN/DL/WP_C/2023/001895,Delhi,Vijayawada,DELHI_DC_05,WP_C,district,2023,1209,Evidence / Argument,1,0,1
SYN/KL/CS/2023/001896,Kerala,Pune,KERALA_DC_04,CS,district,2023,1093,Summons / Appearance,1,2,1
SYN/UP/CS/2024/001897,Uttar Pradesh,Pune,UTTAR__DC_03,CS,district,2024,855,Evidence / Argument,3,1,1
SYN/OT/CS/2023/001898,West Bengal,Varanasi,WEST_B_DC_01,CS,district,2023,1110,Summons / Appearance,3,2,1
SYN/OT/BA/2019/001899,Gujarat,Vijayawada,GUJARA_DC_02,BA,district,2019,2466,Summons / Appearance,0,0,0
SYN/OT/CS/2024/001900,Bihar,Varanasi,BIHAR_DC_05,CS,district,2024,679,Evidence / Argument,2,0,0
SYN/MH/WP_C/2022/001901,Maharashtra,Vijayawada,MAHARA_DC_03,WP_C,district,2022,1458,Evidence / Argument,1,1,0
SYN/AP/CS/2023/001902,Andhra Pradesh,Bhopal,ANDHRA_DC_05,CS,district,2023,1094,Final Arguments / Judgment,3,0,1
SYN/OT/MACA/2023/001903,Assam,Pune,ASSAM_DC_03,MACA,district,2023,1293,Summons / Appearance,1,3,1
SYN/MH/CRL_A/2022/001904,Maharashtra,Bhopal,MAHARA_DC_04,CRL_A,district,2022,1603,Evidence / Argument,3,0,0
SYN/DL/BA/2024/001905,Delhi,Kolkata,DELHI_DC_01,BA,district,2024,637,Summons / Appearance,0,2,1
SYN/OT/BA/2023/001906,Odisha,Lucknow,ODISHA_DC_05,BA,district,2023,1135,Pleadings / Issues,3,2,1
SYN/OT/CRL_A/2023/001907,Madhya Pradesh,Thane,MADHYA_DC_01,CRL_A,district,2023,1169,Pleadings / Issues,3,0,0
SYN/AP/CS/2022/001908,Andhra Pradesh,Varanasi,ANDHRA_DC_03,CS,district,2022,1648,Filing / Registration,1,0,0
SYN/OT/CS/2020/001909,Rajasthan,Kolkata,RAJAST_DC_03,CS,district,2020,2317,Evidence / Argument,1,0,1
SYN/OT/WP_C/2019/001910,Punjab,Kolkata,PUNJAB_DC_02,WP_C,district,2019,2488,Summons / Appearance,1,0,0
SYN/KL/WP_C/2024/001911,Kerala,Vijayawada,KERALA_DC_05,WP_C,district,2024,684,Summons / Appearance,2,0,0
SYN/OT/CS/2022/001912,Karnataka,Kochi,KARNAT_DC_04,CS,district,2022,1423,Evidence / Argument,1,1,1
SYN/OT/CRL_A/2021/001913,Rajasthan,Thiruvananthapuram,RAJAST_DC_01,CRL_A,district,2021,1887,Pleadings / Issues,2,0,0
SYN/OT/WP_C/2022/001914,Assam,Jaipur,ASSAM_DC_05,WP_C,district,2022,1587,Summons / Appearance,6,2,1
SYN/AP/WP_C/2022/001915,Andhra Pradesh,Guntur,ANDHRA_DC_03,WP_C,district,2022,1607,Pleadings / Issues,1,0,0
SYN/MH/BA/2023/001916,Maharashtra,Thiruvananthapuram,MAHARA_DC_01,BA,district,2023,1246,Filing / Registration,0,0,0
SYN/MH/BA/2023/001917,Maharashtra,Varanasi,MAHARA_DC_01,BA,district,2023,1044,Evidence / Argument,1,0,0
SYN/MH/MACA/2022/001918,Maharashtra,Delhi,MAHARA_DC_01,MACA,district,2022,1456,Final Arguments / Judgment,2,1,0
SYN/MH/WP_C/2021/001919,Maharashtra,Delhi,MAHARA_DC_02,WP_C,district,2021,1860,Pleadings / Issues,0,1,0
SYN/DL/CS/2021/001920,Delhi,Varanasi,DELHI_DC_05,CS,district,2021,1813,Final Arguments / Judgment,3,0,0
SYN/KL/CS/2024/001921,Kerala,Jaipur,KERALA_DC_04,CS,district,2024,877,Evidence / Argument,1,3,1
SYN/KL/CS/2022/001922,Kerala,Jaipur,KERALA_DC_03,CS,district,2022,1409,Summons / Appearance,1,0,0
SYN/UP/WP_C/2024/001923,Uttar Pradesh,Delhi,UTTAR__DC_02,WP_C,district,2024,844,Evidence / Argument,1,1,1
SYN/AP/BA/2022/001924,Andhra Pradesh,Varanasi,ANDHRA_DC_04,BA,district,2022,1654,Pleadings / Issues,1,2,1
SYN/AP/BA/2024/001925,Andhra Pradesh,Pune,ANDHRA_DC_05,BA,district,2024,889,Final Arguments / Judgment,2,0,0
SYN/OT/CRL_A/2022/001926,Haryana,Kolkata,HARYAN_DC_03,CRL_A,district,2022,1648,Final Arguments / Judgment,5,0,0
SYN/OT/CRL_A/2021/001927,Haryana,Guntur,HARYAN_DC_01,CRL_A,district,2021,1716,Pleadings / Issues,2,0,0
SYN/OT/BA/2021/001928,Punjab,Jaipur,PUNJAB_DC_03,BA,district,2021,1739,Evidence / Argument,3,0,0
SYN/AP/CS/2022/001929,Andhra Pradesh,Bhopal,ANDHRA_DC_05,CS,district,2022,1585,Summons / Appearance,2,2,1
SYN/OT/CS/2021/001930,Telangana,Kochi,TELANG_DC_04,CS,district,2021,2028,Filing / Registration,1,0,0
SYN/AP/BA/2020/001931,Andhra Pradesh,Lucknow,ANDHRA_DC_04,BA,district,2020,2106,Summons / Appearance,3,0,1
SYN/UP/WP_C/2020/001932,Uttar Pradesh,Lucknow,UTTAR__DC_02,WP_C,district,2020,2293,Summons / Appearance,3,0,0
SYN/OT/CRL_A/2021/001933,Punjab,Kolkata,PUNJAB_DC_02,CRL_A,district,2021,1715,Evidence / Argument,2,1,0
SYN/UP/CRL_A/2022/001934,Uttar Pradesh,Guntur,UTTAR__DC_04,CRL_A,district,2022,1408,Pleadings / Issues,0,0,0
SYN/OT/CRL_A/2022/001935,Jharkhand,Varanasi,JHARKH_DC_02,CRL_A,district,2022,1438,Pleadings / Issues,0,0,0
SYN/KL/WP_C/2021/001936,Kerala,Kolkata,KERALA_DC_01,WP_C,district,2021,1859,Evidence / Argument,1,0,0
SYN/OT/CRL_A/2022/001937,Telangana,Lucknow,TELANG_DC_04,CRL_A,district,2022,1604,Final Arguments / Judgment,1,0,1
SYN/OT/CS/2022/001938,Tamil Nadu,Varanasi,TAMIL__DC_03,CS,district,2022,1588,Summons / Appearance,2,2,1
SYN/AP/CRL_A/2024/001939,Andhra Pradesh,Varanasi,ANDHRA_DC_03,CRL_A,district,2024,763,Evidence / Argument,2,4,1
SYN/MH/BA/2023/001940,Maharashtra,Thane,MAHARA_DC_03,BA,district,2023,1257,Summons / Appearance,0,1,0
SYN/MH/CS/2022/001941,Maharashtra,Lucknow,MAHARA_DC_01,CS,district,2022,1535,Final Arguments / Judgment,0,1,1
SYN/OT/CRL_A/2024/001942,Telangana,Thane,TELANG_DC_04,CRL_A,district,2024,736,Summons / Appearance,6,1,1
SYN/KL/CS/2022/001943,Kerala,Bhopal,KERALA_DC_05,CS,district,2022,1396,Summons / Appearance,6,3,1
SYN/OT/BA/2020/001944,Assam,Bhopal,ASSAM_DC_02,BA,district,2020,2406,Pleadings / Issues,1,0,1
SYN/UP/CS/2023/001945,Uttar Pradesh,Thane,UTTAR__DC_04,CS,district,2023,1226,Pleadings / Issues,3,1,1
SYN/MH/CS/2024/001946,Maharashtra,Jaipur,MAHARA_DC_01,CS,district,2024,909,Pleadings / Issues,0,0,0
SYN/OT/WP_C/2020/001947,Assam,Lucknow,ASSAM_DC_05,WP_C,district,2020,2342,Filing / Registration,1,1,0
SYN/AP/BA/2021/001948,Andhra Pradesh,Bhopal,ANDHRA_DC_05,BA,district,2021,2013,Final Arguments / Judgment,3,2,1
SYN/OT/MACA/2024/001949,Madhya Pradesh,Thane,MADHYA_DC_05,MACA,district,2024,634,Filing / Registration,3,1,0
SYN/KL/CS/2024/001950,Kerala,Kochi,KERALA_DC_01,CS,district,2024,877,Summons / Appearance,6,2,1
SYN/MH/CRL_A/2022/001951,Maharashtra,Varanasi,MAHARA_DC_05,CRL_A,district,2022,1535,Final Arguments / Judgment,4,2,1
SYN/OT/BA/2019/001952,Gujarat,Guntur,GUJARA_DC_01,BA,district,2019,2573,Final Arguments / Judgment,1,0,0
SYN/OT/MACA/2022/001953,Punjab,Bhopal,PUNJAB_DC_04,MACA,district,2022,1580,Pleadings / Issues,0,0,0
SYN/DL/CS/2022/001954,Delhi,Pune,DELHI_DC_04,CS,district,2022,1419,Final Arguments / Judgment,3,1,0
SYN/OT/CS/2024/001955,Chhattisgarh,Kochi,CHHATT_DC_02,CS,district,2024,673,Filing / Registration,0,0,0
SYN/KL/CRL_A/2019/001956,Kerala,Jaipur,KERALA_DC_05,CRL_A,district,2019,2522,Evidence / Argument,0,1,0
SYN/OT/CS/2021/001957,Telangana,Thiruvananthapuram,TELANG_DC_02,CS,district,2021,1889,Evidence / Argument,4,1,1
SYN/AP/CRL_A/2019/001958,Andhra Pradesh,Pune,ANDHRA_DC_01,CRL_A,district,2019,2494,Evidence / Argument,1,1,1
SYN/UP/CS/2021/001959,Uttar Pradesh,Thane,UTTAR__DC_02,CS,district,2021,1749,Final Arguments / Judgment,1,0,0
SYN/KL/BA/2021/001960,Kerala,Thane,KERALA_DC_03,BA,district,2021,1933,Summons / Appearance,1,1,0
SYN/OT/WP_C/2023/001961,Karnataka,Kolkata,KARNAT_DC_05,WP_C,district,2023,1151,Final Arguments / Judgment,1,0,0
SYN/KL/CRL_A/2023/001962,Kerala,Kolkata,KERALA_DC_01,CRL_A,district,2023,1053,Summons / Appearance,4,0,0
SYN/DL/CS/2023/001963,Delhi,Kochi,DELHI_DC_05,CS,district,2023,1170,Summons / Appearance,5,0,0
SYN/OT/CRL_A/2023/001964,Telangana,Kochi,TELANG_DC_05,CRL_A,district,2023,1093,Summons / Appearance,2,2,1
SYN/OT/WP_C/2022/001965,Rajasthan,Lucknow,RAJAST_DC_01,WP_C,district,2022,1413,Summons / Appearance,2,0,0
SYN/UP/CS/2021/001966,Uttar Pradesh,Kolkata,UTTAR__DC_01,CS,district,2021,2032,Evidence / Argument,2,1,0
SYN/UP/CS/2021/001967,Uttar Pradesh,Jaipur,UTTAR__DC_01,CS,district,2021,1709,Evidence / Argument,1,0,0
SYN/OT/BA/2023/001968,Karnataka,Guntur,KARNAT_DC_05,BA,district,2023,1059,Evidence / Argument,4,0,0
SYN/MH/CS/2024/001969,Maharashtra,Bhopal,MAHARA_DC_01,CS,district,2024,605,Pleadings / Issues,2,4,1
SYN/OT/CRL_A/2023/001970,West Bengal,Kochi,WEST_B_DC_01,CRL_A,district,2023,985,Pleadings / Issues,1,1,0
SYN/KL/BA/2023/001971,Kerala,Thiruvananthapuram,KERALA_DC_05,BA,district,2023,1085,Summons / Appearance,1,0,0
SYN/OT/WP_C/2019/001972,Telangana,Jaipur,TELANG_DC_02,WP_C,district,2019,2675,Pleadings / Issues,2,0,1
SYN/OT/CRL_A/2022/001973,Rajasthan,Varanasi,RAJAST_DC_03,CRL_A,district,2022,1365,Evidence / Argument,2,0,1
SYN/MH/CS/2023/001974,Maharashtra,Varanasi,MAHARA_DC_03,CS,district,2023,1200,Evidence / Argument,1,0,0
SYN/AP/CRL_A/2024/001975,Andhra Pradesh,Kochi,ANDHRA_DC_04,CRL_A,district,2024,883,Pleadings / Issues,2,0,0
SYN/OT/MACA/2024/001976,Assam,Vijayawada,ASSAM_DC_03,MACA,district,2024,943,Evidence / Argument,4,1,0
SYN/MH/MACA/2023/001977,Maharashtra,Kolkata,MAHARA_DC_05,MACA,district,2023,1257,Final Arguments / Judgment,3,0,0
SYN/OT/CRL_A/2022/001978,Rajasthan,Lucknow,RAJAST_DC_05,CRL_A,district,2022,1632,Pleadings / Issues,0,0,0
SYN/MH/WP_C/2018/001979,Maharashtra,Varanasi,MAHARA_DC_01,WP_C,district,2018,2916,Evidence / Argument,1,0,0
SYN/KL/CS/2022/001980,Kerala,Jaipur,KERALA_DC_03,CS,district,2022,1555,Summons / Appearance,2,0,0
SYN/MH/BA/2020/001981,Maharashtra,Kolkata,MAHARA_DC_03,BA,district,2020,2100,Pleadings / Issues,2,1,1
SYN/OT/CS/2022/001982,Tamil Nadu,Bhopal,TAMIL__DC_01,CS,district,2022,1570,Summons / Appearance,3,0,0
SYN/MH/CRL_A/2022/001983,Maharashtra,Kochi,MAHARA_DC_02,CRL_A,district,2022,1494,Pleadings / Issues,1,1,1
SYN/MH/CRL_A/2022/001984,Maharashtra,Guntur,MAHARA_DC_02,CRL_A,district,2022,1385,Summons / Appearance,0,0,0
SYN/OT/CRL_A/2024/001985,Chhattisgarh,Varanasi,CHHATT_DC_05,CRL_A,district,2024,678,Summons / Appearance,5,1,1
SYN/OT/WP_C/2023/001986,Chhattisgarh,Varanasi,CHHATT_DC_05,WP_C,district,2023,1197,Evidence / Argument,3,1,1
SYN/MH/CRL_A/2020/001987,Maharashtra,Jaipur,MAHARA_DC_03,CRL_A,district,2020,2256,Pleadings / Issues,1,0,0
SYN/AP/MACA/2022/001988,Andhra Pradesh,Thiruvananthapuram,ANDHRA_DC_04,MACA,district,2022,1530,Summons / Appearance,2,0,0
SYN/OT/CRL_A/2019/001989,Karnataka,Pune,KARNAT_DC_05,CRL_A,district,2019,2639,Summons / Appearance,3,1,0
SYN/OT/CRL_A/2024/001990,Jharkhand,Bhopal,JHARKH_DC_01,CRL_A,district,2024,657,Evidence / Argument,0,0,0
SYN/UP/CS/2023/001991,Uttar Pradesh,Jaipur,UTTAR__DC_01,CS,district,2023,1065,Summons / Appearance,2,1,1
SYN/OT/MACA/2023/001992,Punjab,Kolkata,PUNJAB_DC_03,MACA,district,2023,1005,Filing / Registration,1,1,0
SYN/OT/WP_C/2020/001993,Chhattisgarh,Pune,CHHATT_DC_03,WP_C,district,2020,2269,Final Arguments / Judgment,1,0,0
SYN/UP/CRL_A/2020/001994,Uttar Pradesh,Delhi,UTTAR__DC_05,CRL_A,district,2020,2156,Summons / Appearance,5,2,1
SYN/UP/CS/2021/001995,Uttar Pradesh,Thane,UTTAR__DC_05,CS,district,2021,1994,Evidence / Argument,1,0,1
SYN/OT/CS/2024/001996,Punjab,Vijayawada,PUNJAB_DC_01,CS,district,2024,786,Evidence / Argument,1,1,1
SYN/AP/CS/2024/001997,Andhra Pradesh,Kochi,ANDHRA_DC_02,CS,district,2024,738,Summons / Appearance,3,2,1
SYN/MH/CRL_A/2022/001998,Maharashtra,Thiruvananthapuram,MAHARA_DC_04,CRL_A,district,2022,1581,Final Arguments / Judgment,0,1,1
SYN/MH/CS/2024/001999,Maharashtra,Kochi,MAHARA_DC_04,CS,district,2024,868,Pleadings / Issues,1,0,0
SYN/OT/CRL_A/2023/002000,Jharkhand,Vijayawada,JHARKH_DC_04,CRL_A,district,2023,1028,Pleadings / Issues,5,1,0
SYN/OT/BA/2020/002001,Gujarat,Bhopal,GUJARA_DC_05,BA,district,2020,2153,Summons / Appearance,0,0,0
SYN/DL/CS/2021/002002,Delhi,Bhopal,DELHI_DC_01,CS,district,2021,1825,Summons / Appearance,3,1,1
SYN/OT/CS/2024/002003,Jharkhand,Guntur,JHARKH_DC_04,CS,district,2024,744,Evidence / Argument,3,0,0
SYN/OT/WP_C/2024/002004,Punjab,Bhopal,PUNJAB_DC_03,WP_C,district,2024,807,Pleadings / Issues,2,0,0
SYN/DL/WP_C/2024/002005,Delhi,Bhopal,DELHI_DC_01,WP_C,district,2024,925,Summons / Appearance,3,0,0
SYN/OT/CS/2024/002006,Tamil Nadu,Kolkata,TAMIL__DC_01,CS,district,2024,890,Final Arguments / Judgment,1,0,1
SYN/OT/CS/2022/002007,Bihar,Delhi,BIHAR_DC_03,CS,district,2022,1506,Summons / Appearance,1,0,0
SYN/KL/CRL_A/2022/002008,Kerala,Bhopal,KERALA_DC_03,CRL_A,district,2022,1529,Summons / Appearance,3,1,1
SYN/AP/BA/2019/002009,Andhra Pradesh,Vijayawada,ANDHRA_DC_02,BA,district,2019,2449,Pleadings / Issues,3,0,0
SYN/OT/CRL_A/2020/002010,Bihar,Varanasi,BIHAR_DC_03,CRL_A,district,2020,2179,Pleadings / Issues,1,0,0
SYN/DL/CRL_A/2021/002011,Delhi,Varanasi,DELHI_DC_05,CRL_A,district,2021,2021,Evidence / Argument,2,0,1
SYN/OT/WP_C/2021/002012,Bihar,Thane,BIHAR_DC_05,WP_C,district,2021,1962,Evidence / Argument,1,4,1
SYN/OT/MACA/2024/002013,Chhattisgarh,Delhi,CHHATT_DC_05,MACA,district,2024,669,Summons / Appearance,1,2,1
SYN/OT/CRL_A/2024/002014,Punjab,Varanasi,PUNJAB_DC_05,CRL_A,district,2024,870,Summons / Appearance,4,1,1
SYN/DL/CS/2023/002015,Delhi,Kochi,DELHI_DC_01,CS,district,2023,1218,Summons / Appearance,5,3,1
SYN/AP/BA/2023/002016,Andhra Pradesh,Kochi,ANDHRA_DC_02,BA,district,2023,1078,Pleadings / Issues,1,1,0
SYN/AP/MACA/2023/002017,Andhra Pradesh,Jaipur,ANDHRA_DC_05,MACA,district,2023,1042,Pleadings / Issues,2,0,0
SYN/AP/MACA/2024/002018,Andhra Pradesh,Kolkata,ANDHRA_DC_01,MACA,district,2024,842,Summons / Appearance,5,1,1
SYN/AP/CS/2023/002019,Andhra Pradesh,Lucknow,ANDHRA_DC_04,CS,district,2023,1163,Summons / Appearance,3,1,1
SYN/DL/CS/2024/002020,Delhi,Jaipur,DELHI_DC_02,CS,district,2024,906,Summons / Appearance,2,1,0
SYN/KL/CS/2022/002021,Kerala,Delhi,KERALA_DC_02,CS,district,2022,1670,Pleadings / Issues,2,0,0
SYN/OT/CS/2022/002022,Bihar,Pune,BIHAR_DC_01,CS,district,2022,1582,Pleadings / Issues,5,0,0
SYN/UP/WP_C/2022/002023,Uttar Pradesh,Vijayawada,UTTAR__DC_03,WP_C,district,2022,1331,Evidence / Argument,3,0,0
SYN/OT/CS/2021/002024,Karnataka,Delhi,KARNAT_DC_02,CS,district,2021,1946,Summons / Appearance,1,0,0
SYN/UP/WP_C/2023/002025,Uttar Pradesh,Vijayawada,UTTAR__DC_05,WP_C,district,2023,1295,Evidence / Argument,2,0,1
SYN/DL/BA/2021/002026,Delhi,Pune,DELHI_DC_03,BA,district,2021,1884,Evidence / Argument,2,1,1
SYN/MH/CS/2022/002027,Maharashtra,Kolkata,MAHARA_DC_05,CS,district,2022,1402,Summons / Appearance,0,0,0
SYN/OT/MACA/2023/002028,Odisha,Guntur,ODISHA_DC_02,MACA,district,2023,1247,Pleadings / Issues,3,1,1
SYN/AP/CRL_A/2023/002029,Andhra Pradesh,Delhi,ANDHRA_DC_01,CRL_A,district,2023,1237,Summons / Appearance,1,0,0
SYN/OT/CS/2024/002030,Chhattisgarh,Pune,CHHATT_DC_03,CS,district,2024,891,Summons / Appearance,2,2,1
SYN/OT/CS/2024/002031,Chhattisgarh,Bhopal,CHHATT_DC_02,CS,district,2024,734,Evidence / Argument,1,0,0
SYN/KL/WP_C/2023/002032,Kerala,Vijayawada,KERALA_DC_02,WP_C,district,2023,1224,Summons / Appearance,1,1,0
SYN/OT/CS/2023/002033,Rajasthan,Bhopal,RAJAST_DC_04,CS,district,2023,1136,Evidence / Argument,2,0,1
SYN/OT/CRL_A/2023/002034,Assam,Jaipur,ASSAM_DC_04,CRL_A,district,2023,1302,Pleadings / Issues,0,0,0
SYN/OT/CRL_A/2022/002035,Gujarat,Bhopal,GUJARA_DC_04,CRL_A,district,2022,1328,Evidence / Argument,2,3,1
SYN/KL/BA/2024/002036,Kerala,Guntur,KERALA_DC_03,BA,district,2024,784,Evidence / Argument,2,0,1
SYN/OT/WP_C/2021/002037,Rajasthan,Vijayawada,RAJAST_DC_04,WP_C,district,2021,1745,Summons / Appearance,1,0,0
SYN/OT/CRL_A/2023/002038,Chhattisgarh,Thane,CHHATT_DC_03,CRL_A,district,2023,1065,Pleadings / Issues,0,1,0
SYN/UP/WP_C/2023/002039,Uttar Pradesh,Guntur,UTTAR__DC_03,WP_C,district,2023,1200,Final Arguments / Judgment,2,0,1
SYN/OT/BA/2023/002040,Haryana,Guntur,HARYAN_DC_05,BA,district,2023,997,Pleadings / Issues,0,0,0
SYN/AP/WP_C/2020/002041,Andhra Pradesh,Varanasi,ANDHRA_DC_05,WP_C,district,2020,2122,Pleadings / Issues,0,1,0
SYN/UP/BA/2022/002042,Uttar Pradesh,Kolkata,UTTAR__DC_02,BA,district,2022,1456,Evidence / Argument,2,0,0
SYN/OT/CS/2022/002043,Jharkhand,Bhopal,JHARKH_DC_01,CS,district,2022,1642,Evidence / Argument,0,0,0
SYN/UP/BA/2024/002044,Uttar Pradesh,Guntur,UTTAR__DC_03,BA,district,2024,696,Summons / Appearance,3,1,0
SYN/OT/CS/2021/002045,Assam,Vijayawada,ASSAM_DC_01,CS,district,2021,1869,Final Arguments / Judgment,3,0,0
SYN/MH/BA/2018/002046,Maharashtra,Guntur,MAHARA_DC_01,BA,district,2018,3125,Summons / Appearance,6,3,1
SYN/MH/WP_C/2021/002047,Maharashtra,Guntur,MAHARA_DC_01,WP_C,district,2021,1923,Summons / Appearance,3,0,0
SYN/UP/WP_C/2021/002048,Uttar Pradesh,Bhopal,UTTAR__DC_04,WP_C,district,2021,1718,Filing / Registration,3,1,1
SYN/KL/CS/2022/002049,Kerala,Vijayawada,KERALA_DC_01,CS,district,2022,1688,Evidence / Argument,0,0,0
SYN/OT/CRL_A/2024/002050,Karnataka,Lucknow,KARNAT_DC_04,CRL_A,district,2024,689,Evidence / Argument,3,0,0
SYN/OT/BA/2023/002051,Assam,Guntur,ASSAM_DC_03,BA,district,2023,1185,Summons / Appearance,6,3,1
SYN/MH/WP_C/2023/002052,Maharashtra,Thane,MAHARA_DC_02,WP_C,district,2023,1238,Final Arguments / Judgment,0,1,0
SYN/UP/WP_C/2021/002053,Uttar Pradesh,Thane,UTTAR__DC_04,WP_C,district,2021,1854,Pleadings / Issues,0,0,0
SYN/OT/MACA/2022/002054,West Bengal,Delhi,WEST_B_DC_04,MACA,district,2022,1685,Final Arguments / Judgment,1,0,0
SYN/UP/BA/2020/002055,Uttar Pradesh,Jaipur,UTTAR__DC_05,BA,district,2020,2095,Evidence / Argument,0,0,0
SYN/AP/BA/2022/002056,Andhra Pradesh,Vijayawada,ANDHRA_DC_05,BA,district,2022,1634,Summons / Appearance,3,0,1
SYN/AP/CRL_A/2023/002057,Andhra Pradesh,Kolkata,ANDHRA_DC_04,CRL_A,district,2023,1191,Summons / Appearance,0,1,1
SYN/AP/CS/2020/002058,Andhra Pradesh,Kolkata,ANDHRA_DC_05,CS,district,2020,2067,Summons / Appearance,1,0,0
SYN/OT/MACA/2024/002059,Haryana,Bhopal,HARYAN_DC_05,MACA,district,2024,958,Pleadings / Issues,1,1,0
SYN/OT/WP_C/2020/002060,Jharkhand,Bhopal,JHARKH_DC_04,WP_C,district,2020,2205,Evidence / Argument,0,1,0
